aardvark-dns 1.9.0-1
accountsservice 23.13.9-1
acpi 1.7-3
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
akonadi-calendar-tools 23.08.4-1
akonadi-import-wizard 23.08.4-1
akonadiconsole 23.08.4-1
akregator 23.08.4-1
alacritty 0.13.1-1
alligator 23.08.4-1
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.10-1
android-tools 34.0.4-3
angelfish 23.08.4-1
ansible 9.1.0-2
apachedirectorystudio 2.0.0.v20210717.17-0
appimagelauncher 2.2.0-6
arandr 0.1.11-2
arc-gtk-theme-eos 20221218-1
arc-x-icons-theme 2.1-3
archlinux-xdg-menu 0.7.6.6-1
arianna 23.08.4-1
ark 23.08.4-1
artikulate 23.08.4-1
asciinema 2.4.0-1
audiocd-kio 23.08.4-1
audiotube 23.08.4-1
autoconf 2.72-1
automake 1.16.5-2
autorandr 1.14-1
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-4
baobab 45.0-1
base 3-2
bash-completion 2.11-3
bash-language-server 5.1.2-1
bat 0.24.0-1
bat-extras 2023.09.19-1
bind 9.18.21-1
binutils 2.41-3
bison 3.8.2-6
blinken 23.08.4-1
bluedevil 1:5.27.10-1
blueman 2.3.5-2
bluez 5.72-2
bluez-utils 5.72-2
bomber 23.08.4-1
bovo 23.08.4-1
breeze 5.27.10-1
breeze-gtk 5.27.10-1
breeze-plymouth 5.27.10-1
btrfs-progs 6.6.3-1
caffeine 2.9.12-1
calibre 7.3.0-1
cantarell-fonts 1:0.303.1-1
cantor 23.08.4-1
capitaine-cursors 4-2
catppuccin-gtk-theme-frappe 0.7.1-1
catppuccin-gtk-theme-latte 0.7.1-1
catppuccin-gtk-theme-macchiato 0.7.1-1
catppuccin-gtk-theme-mocha 0.7.1-1
celluloid 0.26-1
cervisia 23.08.4-1
chafa 1.12.4-3
cheese 44.1-2
clipit 1.4.5-3
cmatrix 2.0-2
colord-kde 23.08.4-1
cowsay 3.04-4
croc 9.6.6-1
cryptsetup 2.6.1-3
ctags 1:6.1.0-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
davinci-resolve 18.6.4-1
dbeaver 23.3.2-1
device-mapper 2.03.23-1
dex 0.9.0-1
dhclient 4.4.3.P1-2
dialog 1:1.3_20231002-1
diffutils 3.10-1
discord 0.0.40-1
discover 5.27.10-1
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
docker 1:24.0.7-1
docker-compose 2.24.0-1
dolphin 23.08.4-1
dolphin-plugins 23.08.4-1
dosfstools 4.2-3
downgrade 11.3.0-1
dragon 23.08.4-1
drkonqi 5.27.10-1
dunst 1.9.2-1
dust 0.9.0-1
e2fsprogs 1.47.0-1
efibootmgr 18-2
element 0.46.6-1
element-desktop 1.11.53-1
elisa 23.08.4-1
emacs 29.1-4
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 23.16-1
endeavouros-skel-xfce4 3.7-1
endeavouros-theming 23.11.1.1-1
endeavouros-xfce4-terminal-colors 5-1
entr 5.5-1
eog 45.2-1
eos-apps-info 24-1
eos-hooks 1.15-1
eos-log-tool 23-3
eos-rankmirrors 2.26-1
eos-update-notifier 24-1
espeak-ng 1.51.1-2
ethtool 1:6.5-1
evince 45.0-1
exfat-utils 1.4.0-2
exo 4.18.0-1
expect 5.45.4-4
eza 0.17.1-1
f2fs-tools 1.16.0-2
fakeroot 1.32.2-1
falkon 23.08.4-2
fd 9.0.0-1
feh 3.10.2-1
ffmpegthumbnailer 2.2.2-5
ffmpegthumbs 23.08.4-1
figlet 2.2.5-5
file-roller 43.1-1
filelight 23.08.4-1
firefox 121.0.1-1
flameshot 12.1.0-3
flatpak-kcm 5.27.10-1
flex 2.6.4-5
font-manager 0.8.8-1
foomatic-db 3:20230903-1
foomatic-db-engine 4:20220521-1
foomatic-db-gutenprint-ppds 5.3.4-3
foomatic-db-nonfree 3:20230903-1
foomatic-db-nonfree-ppds 3:20230903-1
foomatic-db-ppds 3:20230903-1
foot 1.16.2-2
freerdp 2:2.11.4-1
fsarchiver 0.8.7-1
